Company,WBA ID,Website,Corporate name,Headquarters,Region,Income group,Ownership,ISIN,Ticker,Stock market,Wiki Data ID,LEI,"""Home"" Transformation",Food & Agriculture,Decarbonisation and Energy,Nature,Digital,Financial,Urban,Social,WBA Industry,ISIC 4,ISIC Description,Revenue US$ m 2021,Revenue US$ m 2022,Revenue US$ m 2023,Employees 2021,Employees 2022,Employees 2023,Women employees (%) 2023,Women on the board (%) 2024,Water 2023 (ML),Waste 2023 (t),Scope 1+S2 LB million tCO2e 2021,Scope 1+2 LB milion tCO2e 2022,Scope 1+2 milion tCO2e LB 2023,Scope 3 million tCO2e 2021,Scope 3 All relevant categories 2021,Scope 3 million tCO2e 2022,Scope 3 All relevant categories 2022,Scope 3 million tCO2e 2023,Scope 3 All relevant categories 2023,SBTi 2023,SBTi 2024,Energy (MWh) 2021,Electricity (MWh) 2021,Renewable electricity (%) 2021,Energy (MWh) 2022,Electricity (MWh) 2022,Renewable electricity (%) 2022, Energy (MWh) 2023, Electricity (MWh) 2023,Renewable electricity (%) 2023,Fiscal year 2023 ending, Countries of operation reported by company, Calculated countries of operations, Significant countries of operation,Significance metric,Keystone Footprint metric,Latest value,Financial report 2023,ESG Report 2023,Financial link 2023,ESG link 2023
ADM,PT_00131,https://www.adm.com,Archer-Daniels-Midland Company,United States,North America,High income,Public, US0394831020,ADM, NYSE, Q632694, 549300LO13MQ9HYSTR83, FAB, Yes, , Yes, , , , Yes, Food Production,4620, Wholesale of agricultural raw materials and live animals,"  85,249.00 ","  101,556.00 ","  93,935.00 ","  41,000.00 ","  42,001.00 ","  41,802.00 ",  25.6 ,  36.4 ,"  298,000.00 ",  -   ,  16.00 ,  15.63 ,  14.59 ,  66.80 ,  -   ,  118.10 , No,  107.52 , Yes, Committed, Committed,"  57,900,000.00 ","  4,800,000.00 ",  -   ,"  55,300,000.00 ","  4,540,000.00 ",  -   ,"  53,865,146.00 ","  4,620,000.00 ",  -   ,31-Dec-23,  45 ,  45 ,  -   ,  -   , Number of processing and manufacturing facilities ,  330 ,Annual Report,2023 Corporate Sustainability Report,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000007084/661c5829-2272-445d-8d76-be32b5a56a6c.pdf,https://s1.q4cdn.com/365366812/files/doc_presentations/2024/May/15/2023-corporate-sustainability-report.pdf
Musim Mas,PT_01215,https://www.musimmas.com,Musim Mas Group,Singapore,East Asia & Pacific,High income,Private,,,, Q18128328, 254900XM4B6RYGAVNQ19, FAB, Yes, , Yes, , , , Yes, Food Production,1040, Manufacture of vegetable and animal oils and fats,"  10,000 ","  10,800 ","  8,900 ","  37,681 ","  38,814 ","  42,380 ",  22.4 , Not found,  -   ,  -   ,  2.11 ,  -   ,  1.95 ,  -   ,  -   ,  -   , No,  39.96 , Yes,  -   , Targets Set,"  2,130,696.95 ",  -   ,  -   ,"  2,267,284.59 ",  -   ,  -   ,"  2,039,874.97 ",  -   ,  -   ,31-Dec-23,, ,  -   ,  -   , Total land area under active production ,"  123,998 ",Musim Mas Sustainability Report 2023,Sustainability Performance Data 2023,https://www.musimmas.com/wp-content/uploads/2024/08/Musim-Mas-SR2023.pdf,https://www.musimmas.com/wp-content/uploads/2024/08/Musim-Mas-SR2023-Sustainability-Performance-Data.pdf
Gujarat Gas,PT_02563,https://www.gujaratgas.com,Gujarat Gas,India,South Asia,Lower middle income,Government,,,, Q5616988, 335800BGVH85CIFRKY95, Urban, , , , , , Yes, Yes, Utilities,3520, Manufacture of gas; distribution of gaseous fuels through mains, ...,"  2,215 ","  1,985 ", ...,"  1,028 ",  972 ,  5.9 ,  25.0 ,  88.49 ,  411.00 ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.02 , No,  0.02 , No,  -   , …,  -   ,  -   ,  -   ,"  145,898.63 ","  132,610.31 ",  0.00 ,"  163,373.49 ","  145,713.59 ",  5.16 ,31-Mar-24,, ,  -   ,  -   , , ,12th Annual Report 2023-24,12th Annual Report 2023-24,https://www.gujaratgas.com/resources/downloads/12th-annual-report-2023-24-03-09-2024.pdf,https://www.gujaratgas.com/resources/downloads/12th-annual-report-2023-24-03-09-2024.pdf
Hamilton Lane,PT_02668,https://www.hamiltonlane.com,Hamilton Lane Incorporated,United States,North America,High income,Public, US4074971064,,, Q119844805, 5493006OKN3V1NORM833, FSB, , , , , Yes, , Yes, Alternative Asset Managers,6499," Other financial service activities, except insurance and pension funding activities, n.e.c.", ..., ...,  554 ,  -   ,  -   ,  700 ,  42.0 ,  12.5 ,  -   ,  -   , ,  -   ,  -   , , ,  -   ,  -   ,  -   , NA,  -   , …, , ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,31-Mar-24,, ,  -   ,  -   , , ,FORM 10-K, ,https://app.quotemedia.com/data/downloadFiling?webmasterId=101533&ref=318345053&type=PDF&symbol=HLNE&cdn=0f0229fbf189151d36d8449f8642a3a1&companyName=Hamilton+Lane+Incorporated&formType=10-K&dateFiled=2024-05-23, 
Hankyu Hanshin Holdings,PT_00817,https://www.hankyu-hanshin.co.jp,"Hankyu Hanshin Holdings, Inc.",Japan,East Asia & Pacific,High income,Public, JP3774200004,,, Q841220,, Climate, , Yes, , , , , Yes, Passenger Transport,4911," Passenger rail transport, interurban","  6,799 ","  7,363 ","  7,101 ","  14,575 ","  22,869 ","  22,811 ", ...,  27.3 ,  -   ,  -   ,  0.39 ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,"  2,824,843.64 ",  -   ,  -   ,"  2,877,212.22 ",  -   ,  -   ,"  2,404,563.14 ",  -   ,  -   ,31-Mar-24,, ,  -   ,  -   , Passengers per year,"  821,461,000 ",INTEGRATED REPORT 2024, ,https://www.hankyu-hanshin.co.jp/docs/3c2a5c5ec1c940c902638ceed128076c20fe9706.pdf, 
American Eagle Outfitters,PT_00089,https://www.aeo-inc.com,American Eagle Outfitters Inc,United States,North America,High income,Public, US02553E1064,AEO, NYSE, Q2842931, 5299001Z9HXK01DHW793, Nature, , , Yes, , , , Yes, Apparel & Footwear,4771," Retail sale of clothing, footwear and leather articles in specialized stores","  5,011 ","  4,990 ","  5,262 ","  40,800 ","  40,000 ","  43,100 ",  80.0 ,  42.9 ,  -   ,  -   ,  0.06 ,  0.07 ,  0.07 ,  3.66 ,  -   ,  3.51 , Yes,  3.67 , Yes, Targets Set, Targets Set,"  190,582.00 ","  150,167.00 ",  25.93 ,"  218,966.00 ","  163,519.00 ",  22.93 ,"  194,101.98 ","  157,765.29 ",  -   ,3-Feb-24,, ,  -   ,  -   , Number of stores ,"  1,450 ",Annual Report 2023, ,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000919012/376ee625-9751-45ca-bfd4-432ce69fe372.pdf, 
Haseko Corporation,PT_00823,https://www.haseko.co.jp,Haseko Corp,Japan,East Asia & Pacific,High income,Public, JP3768600003,,, Q11654016, 529900EH7TSG348O4045, Urban, , ,, , , Yes, Yes, Construction & Engineering,4100, Construction of buildings,"  8,289 ","  7,812 ","  7,790 ","  7,850 ","  7,901 ","  7,753 ",  31.7 ,  11.8 ,  756.00 ,"  718,514.50 ",  0.06 ,  -   ,  -   ,  6.18 ,  -   ,  -   ,  -   ,  5.29 , Yes,  -   , Targets Set,  -   ,  -   ,  -   ,"  122,154.43 ",  19.30 ,  -   ,"  207,575.96 ","  24,171.00 ",  100.00 ,31-Mar-24,, ,  -   ,  -   , , ,FINANCIAL REPORT 2024,ESG Data and Disclosures,https://www.haseko.co.jp/hc/english/ir/library/pdf/annual/fr2024.pdf,https://www.haseko.co.jp/hc/english/csr/esg/
Stripe,PT_02067,https://stripe.com,Stripe,United States,North America,High income,Private,,,, Q7624104, 549300CLHGIPTCYHQ143, DIB, , , , Yes, , , Yes, IT Software & Services,5820, Software publishing, ..., ..., ..., ..., ...,  , ...,  33.3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, , ,  -   , , ,, ,, 
HDFC Bank,PT_00825,https://www.hdfcbank.com,HDFC Bank Limited,India,South Asia,Lower middle income,Public, INE040A01034,,, Q631047, 335800ZQ6I4E2JXENC50, FSB, , , , , Yes, , Yes, Banks,6419, Other monetary intermediation, ..., ...,"  49,394 ","  141,579 ","  173,222 ","  213,527 ",  26.0 ,  25.0 ,"  2,408.08 ","  4,203.52 ",  0.31 ,  -   ,  -   ,  0.04 ,  -   ,  0.05 , No,  0.06 , No,  -   , …,"  443,471.94 ","  364,135.56 ",  -   ,"  548,638.88 ","  435,040.45 ",  0.66 ,"  842,493.35 ","  704,247.10 ",  0.46 ,31-Mar-24,  7 ,  7 ,  -   ,  -   , , ,Integrated Annual Report 2023-24,Integrated Annual Report 2023-24,https://www.hdfcbank.com/content/bbp/repositories/723fb80a-2dde-42a3-9793-7ae1be57c87f/?path=/Footer/About%20Us/Investor%20Relation/annual%20reports/pdf/2024/july/HDFC-Bank-IAR-FY24.pdf,https://www.hdfcbank.com/content/bbp/repositories/723fb80a-2dde-42a3-9793-7ae1be57c87f/?path=/Footer/About%20Us/Investor%20Relation/annual%20reports/pdf/2024/july/HDFC-Bank-IAR-FY24.pdf
Oetker,PT_01327,https://www.oetker-group.com,Oetker-Gruppe,Germany,Europe & Central Asia,High income,Private,,,, Q688668,, FAB, Yes, , Yes, , , , Yes, Food Production,1079," Manufacture of other food products n.e.c,","  8,722 ","  6,851 ","  7,512 ","  46,384 ","  29,399 ","  44,802 ", ..., Not found,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,31-Dec-23,, ,  -   ,  -   , , ,Annual Report 2023, ,https://www.oetker-gruppe.de/assets/hygraph/ALUYcJSNq7P7n4zmt1ngcz/D3TifbxRdiw8RMzcsNQw, 
Hitachi,PT_00850,https://www.hitachi.com,"Hitachi, Ltd.",Japan,East Asia & Pacific,High income,Public, JP3788600009,,, Q53238, 549300T6IPOCDWLKC615, Social, , , , , , , Yes, Electronics,2620, Manufacture of computers and peripheral equipment, ..., ...,"  69,248 ",  -   ,  -   ,"  268,655 ", ...,  16.7 ,"  10,590.00 ","  164,000.00 ",  3.41 ,  -   ,  -   ,  67.34 ,  -   ,  -   ,  -   ,  213.70 , Yes,  -   , Targets Set,"  17,222,222.22 ","  4,776,600.00 ",  4.03 ,  -   ,  -   ,  -   ,"  3,291,000.00 ","  1,484,000.00 ",  51.82 ,31-Mar-24,, , ,  -   , , ,Securities Report,Hitachi Sustainability Report 2024,https://www.hitachi.com/IR-e/library/stock/hit_sr_fy2023_4_en.pdf,https://www.hitachi.com/sustainability/download/pdf/en_sustainability2024.pdf
Honda Motor,PT_00855,https://global.honda,"Honda Motor Co., Ltd.",Japan,East Asia & Pacific,High income,Public, JP3854600008,,, Q9584, 549300P7ZYCQJ36CCS16, Climate, , Yes, , , , , Yes, Motor Vehicles & Parts,2910, Manufacture of motor vehicles,"  132,599 ","  128,576 ","  145,411 ","  204,035 ","  197,039 ","  194,993 ",  16.0 ,  25.0 ,"  31,700.00 ","  1,510,000.00 ",  4.30 ,  -   ,  -   ,  275.72 ,  -   ,  284.41 , Yes,  267.39 , Yes,  -   , …,"  12,361,111.21 ","  6,694,444.44 ",  -   ,"  12,028,740.00 ","  6,667,200.00 ",  -   ,"  12,027,787.40 ",  -   ,  -   ,31-Mar-24,, ,  -   ,  -   , Vehicles manufactured,"  3,820,814 ",Integrated Report,HONDA ESG DATA BOOK 2024,https://global.honda/en/sustainability/integratedreport/pdf/Honda_Report_2024-en-all.pdf?utm_source=top&utm_medium=link&utm_campaign=integratedreport2024&utm_content=Honda_Report_2024-en-all_category,https://global.honda/en/sustainability/cq_img/report/pdf/2024/honda-SR-2024-en-all.pdf
ICICI Bank ,PT_00885,https://www.icicibank.com,ICICI Bank Limited,India,South Asia,Lower middle income,Public, INE090A01021,,, Q1653258, R7RX8ER1V4666J8D1I38, FSB, , , , , Yes, , Yes, Banks,6419, Other monetary intermediation, ..., ...,"  28,576 ","  105,844 ","  129,020 ","  141,009 ",  31.9 ,  15.4 ,"  1,146.81 ",  182.37 ,  0.13 ,  0.15 ,  -   ,  -   ,  -   ,  -   , No,  0.16 , No,  -   , …,"  127,000.00 ",  -   ,  -   ,"  218,539.00 ","  189,920.46 ",  7.25 ,"  245,096.09 ","  217,222.41 ",  34.86 ,31-Mar-24,  4 ,  4 ,  -   ,  -   , , ,Annual Report 2023-24,BUSINESS RESPONSIBILITY AND SUSTAINABILITY REPORT,https://www.icicibank.com/content/dam/icicibank/managed-assets/docs/investor/annual-reports/2024/annual-report-of-icici-bank-2023-24.pdf,https://www.icicibank.com/content/dam/icicibank/managed-assets/docs/investor/annual-reports/2024/icici-bank-brsr-2024.pdf
TurkmenGaz,PT_01826,https://turkmengaz.gov.tm,TurkmenGaz,Turkmenistan,Europe & Central Asia,Upper middle income,Government,,,, Q3542321,, Climate, , Yes,, , , , Yes, Oil & Gas,1920, Manufacture of refined petroleum products, ..., ..., ..., ..., ...,  , ..., Not found,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, , ,  -   , , ,, ,, 
Cemex,PT_00329,https://www.cemex.com,"CEMEX, S.A.B. de C.V.",Mexico,Latin America & Caribbean,Upper middle income,Public, MXP225611567,,, Q1053348, 549300JHGUF0VVA38719, Climate, , Yes, Yes, , , , Yes, Construction Materials & Supplies,2394," Manufacture of cement, lime and plaster","  14,548.00 ","  15,577.00 ","  17,388.00 ","  46,210.00 ","  43,465.00 ","  46,063.00 ",  16.0 ,  15.4 ,"  52,500.00 ",  -   ,  42.10 ,  -   ,  -   ,  10.70 ,  -   ,  16.40 , No,  16.40 , Yes, Targets Set, Targets Set,"  59,507,000.00 ","  7,583,000.00 ",  30.00 ,"  56,424,000.00 ","  7,252,000.00 ",  -   ,"  53,131,000.00 ","  7,031,000.00 ",  36.00 ,31-Dec-23,  26 , , ,  -   , Production by major product line,"  98,758,000 ",FORM 20-F,2023 INTEGRATED REPORT,https://cemexen.gcs-web.com/static-files/f34fa50b-f450-48ff-9108-2c6496a3d4a1,https://www.cemex.com/documents/d/cemex/cemex-2023-integrated-report-en
IJM,PT_02681,https://www.ijm.com,IJM Corporation Berhad,Malaysia,East Asia & Pacific,Upper middle income,Public, MYL3336OO004,,, Q5971541,, Urban, , , , , , Yes, Yes, Construction & Engineering,4100, Construction of buildings, ..., ...,"  1,298 ",  -   ,  -   ,"  3,502 ",  31.0 ,  33.3 ,"  1,011.48 ","  116,382.90 ", ,  -   ,  0.07 , , ,  -   ,  -   ,  0.96 , No,  -   , …, , ,,  -   ,  -   ,  -   ,"  157,982.00 ","  75,426.90 ",  12.00 ,31-Mar-24,, ,  -   ,  -   , , ,ANNUAL REPORT 2024,ANNUAL REPORT 2024,https://www.ijm.com/sites/default/files/annualreport-pdf/arc_ar_2024.pdf,https://www.ijm.com/sites/default/files/annualreport-pdf/arc_ar_2024.pdf
Indian Oil,PT_00894,https://iocl.com,Indian Oil Corporation,India,South Asia,Lower middle income,Public, INE242A01010,,, Q1289348, 335800J8OBWE4VFUDG88, Climate, , Yes,, , , , Yes, Oil & Gas,610, Extraction of crude petroleum,"  100,083 ","  121,579 ","  107,152 ","  31,254 ","  31,095 ","  30,321 ",  9.0 ,  7.7 ,"  113,230.00 ","  438,800.00 ",  21.07 ,  -   ,  -   ,  258.09 ,  -   ,  301.50 , No,  351.09 , Yes,  -   , …,"  87,330,840.32 ",  -   ,  -   ,"  1,222,202,788.00 ","  998,888.90 ",  10.98 ,"  90,535,627.98 ","  1,129,723.13 ",  5.60 ,31-Mar-24,, ,  -   ,  -   , , ,Integrated Annual Report 2023-24,SUSTAINABILITY REPORT FY 2023-24,https://www.iocl.com/download/SingleAnnualReport202324.pdf,https://www.iocl.com/uploads/IOCL-Sustainability-Report-2023-24.pdf
IndiGo,PT_00896,https://www.goindigo.in,InterGlobe Aviation Ltd,India,South Asia,Lower middle income,Public, INE646L01027,,, Q1057110, 33580079R8SLLO23XD19, Climate, , Yes, , , , , Yes, Passenger Transport,5110, Passenger air transport,"  3,606 ","  7,109 ","  8,624 ","  26,164 ","  32,407 ","  38,192 ",  43.5 ,  12.5 ,  82.92 ,"  5,589.32 ",  3.12 ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,"  4,141,686.37 ","  9,054.24 ",  -   ,"  8,987,876.36 ","  5,642.78 ",  -   ,"  33,257,650.32 ","  17,304.03 ",  0.11 ,31-Mar-24,, ,  -   ,  -   , Passengers per year,"  106,400,970 ",Annual Report 2023-24,Sustainability Report,https://www.goindigo.in/content/dam/goindigo/investor-relations/annual-report/2023-24/Annual-Report-2023-24.pdf,https://www.goindigo.in/content/dam/indigov2/6e-website/header/information/indigo-green/download-report/IndiGo_ESG_Report_FY_2023-24.pdf
Sudatel,PT_01681,https://www.sudatel.sd,Sudatel Telecommunications Group Ltd,Sudan,Sub-Saharan Africa,Low income,Public, SD000A0F5KV7,,, Q2363022,, DIB, , , , Yes, , , Yes, Telecommunications,6120, Wireless telecommunications activities,  282 , ..., ..., ..., ...,  , ...,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  3 , , ,  -   , , ,, ,, 
International Distributions Services,PT_01507,https://www.internationaldistributionsservices.com,International Distributions Services plc,United Kingdom,Europe & Central Asia,High income,Public, GB00BDVZYZ77,IDS, LSE, Q121076325, 213800TCZZU84G8Z2M70, Climate, , Yes, , , , , Yes, Postal and Courier Activities,5310, Postal activities,"  17,414 ","  14,869 ","  15,849 ","  162,360 ","  152,587 ","  160,980 ",  21.4 ,  36.4 ,  -   ,"  29,500.00 ",  0.53 ,  0.58 ,  0.59 ,  0.70 ,  -   ,  1.82 , No,  1.97 , No, Targets Set, Targets Set,"  2,345,913.00 ","  4,108.95 ",  100.00 ,"  2,607,957.00 ",  -   ,  -   ,"  2,718,537.00 ",  -   ,  -   ,31-Mar-24,, ,  -   ,  -   , Number of employees,"  152,587 ",Annual Report and Financial Statements 2023-24, ,https://www.internationaldistributionservices.com/media/12344/ids_annual-report-2023-24.pdf, 
Investec,PT_00927,https://www.investec.com,Investec,South Africa,Sub-Saharan Africa,Upper middle income,Public, ZAE000081949,,, Q1671741, 213800CU7SM6O4UWOZ70, FSB, , , , , Yes, , Yes, Banks,6419, Other monetary intermediation, ..., ...,"  6,123 ","  7,917 ","  8,292 ","  7,231 ",  49.7 ,  42.9 ,  95.60 ,  -   ,  0.02 ,  0.03 ,  0.02 ,  0.00 ,  -   ,  0.01 , No,  2.54 , Yes,  -   , …,  -   ,"  27,429.27 ",  -   ,  -   ,"  26,410.85 ",  -   ,"  31,607.52 ","  21,625.72 ",  100.00 ,31-Mar-24,  8 ,  7 ,  -   ,  -   , , ,ANNUAL REPORT 2024,SUSTAINABILITY REPORT 2024,https://www.investec.com/content/dam/investor-relations/financial-information/group-financial-results/2024/Investec-Abridged-report-Printable-2024.pdf,https://www.investec.com/content/dam/investor-relations/financial-information/group-financial-results/2024/Investec_Group_sustainability_report_2024.pdf
Itochu,PT_00936,https://www.itochu.co.jp,Itochu Corporation ,Japan,East Asia & Pacific,High income,Public, JP3143600009,,, Q717093, J48DJYXDTLHM30UMYI18, Social,, ,, , , , Yes, Conglomerates,6420, Activities of holding companies,"  112,012 ","  106,050 ","  99,864 ","  4,170 ","  4,112 ","  4,098 ",  25.0 ,  20.0 ,"  50,663.00 ","  609,558.00 ",  2.20 ,  -   ,  -   ,  2.47 ,  -   ,  -   , No,  2.23 , Yes,  -   , …,  -   ,"  1,638,874.00 ",  -   ,  -   ,"  1,526,398.00 ",  -   ,"  14,498,613.80 ","  1,672,619.00 ",  -   ,31-Mar-24,, ,  -   ,  -   , , ,Integrated Report 2024,ESG Data,https://www.itochu.co.jp/en/files/ar2024E.pdf,https://www.itochu.co.jp/en/csr/data/index.html
TFG,PT_01779,https://www.tfglimited.co.za,The Foschini Group Limited ,South Africa,Sub-Saharan Africa,Upper middle income,Public, ZAE000148466,,, Q24233996, 3789PTO7LG718IG59F97, Nature, , , Yes, , , , Yes, Apparel & Footwear,4771," Retail sale of clothing, footwear and leather articles in specialized stores","  3,124 ","  3,369 ","  3,258 ","  38,329 ","  46,566 ","  47,523 ",  65.1 ,  21.4 ,  -   ,  -   ,  0.23 ,  0.26 ,  -   ,  0.17 ,  -   ,  0.17 , No,  0.30 , Yes,  -   , …,  -   ,"  233,158.57 ",  2.21 ,  126.32 ,  -   ,  -   ,  -   ,  -   ,  -   ,31-Mar-24,, ,  -   ,  -   , Number of stores ,"  4,697 ",AUDITED CONSOLIDATED ANNUAL FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 MARCH, ,https://tfglimited.co.za/wp-content/uploads/2024/07/Group-Annual-Financial-Statement-2024.pdf, 
J Power,PT_02536,https://www.jpower.co.jp,J Power,Japan,East Asia & Pacific,High income,Public, JP3551200003,,, Q3805077, 549300KMHPUAQI8VEH90, Climate, , Yes, , , , , Yes, Utilities,3510," Electric power generation, transmission and distribution", ...,"  14,007 ","  8,954 ", ...,"  7,078 ","  7,083 ",  13.7 ,  7.7 ,"  61,276,000.00 ","  1,530,000.00 ",  -   ,  49.06 ,  44.53 ,  -   ,  -   ,  13.17 , No,  13.31 , Yes,  -   , …,  -   ,  -   ,  -   ,  -   ,"  71,300,000.00 ",  -   ,"  79,023,748.80 ","  132,000.00 ",  -   ,31-Mar-24,, ,  -   ,  -   , Number of customers served, ,INTEGRATED REPORT 2024,INTEGRATED REPORT 2024,https://www.jpower.co.jp/english/ir/library/pdf/2024/jpower_integrated2024_e_all.pdf,https://www.jpower.co.jp/english/ir/library/pdf/2024/jpower_integrated2024_e_all.pdf
Asahi Kasei Corporation,PT_00140,https://www.asahi-kasei.com,Asahi Kasei Corporation,Japan,East Asia & Pacific,High income,Public, JP3111200006,,, Q720489, 353800GPI4Z3MGDGN142, Nature, , , Yes, , , , Yes, Chemicals,2011, Manufacture of basic chemicals,"  22,427 ","  20,734 ","  19,823 ","  46,751 ","  48,897 ","  49,295 ", ...,  20.0 ,  -   ,  -   ,  -   ,  3.95 ,  -   ,  -   ,  -   ,  14.21 , Yes,  -   , NA, Targets Set, Targets Set,  -   ,  -   ,  -   ,"  12,127,089.00 ","  1,525,697.00 ",  9.43 ,  -   ,  -   ,  -   ,31-Mar-24,, , ,  -   , , ,Asahi Kasei Report 2024, ,https://www.asahi-kasei.com/ir/library/asahikasei_report/pdf/24en.pdf, 
Japan Airlines,PT_00949,https://www.jal.com,"Japan Airlines Co., Ltd. ",Japan,East Asia & Pacific,High income,Government, JP3705200008,,, Q213140, 3538002MH5L1QZZ93477, Climate, , Yes, , , , , Yes, Passenger Transport,5110, Passenger air transport,"  6,221 ","  10,460 ","  11,758 ","  35,423 ","  36,039 ","  36,500 ",  51.3 ,  22.2 ,  497.00 ,"  2,814.00 ",  6.27 ,  -   ,  -   ,  1.53 ,  -   ,  1.77 , No,  2.24 , Yes, Committed, Removed,"  25,819,000.00 ",  -   ,  -   ,"  73,056,426.51 ","  95,000.00 ",  -   ,"  37,188,800.00 ","  98,000.00 ",  -   ,31-Mar-24,, ,  -   ,  -   , Passengers per year,"  34,457,000 ","Consolidated Financial Statements Japan Airlines Co., Ltd. And Subsidiaries",ESG Appendix / ESG Data Book,https://www.jal.com/en/investor/library/information/pdf/fy2023report_en0620.pdf,https://www.jal.com/en/sustainability/esg/pdf/esg.pdf
Japan Post Bank,PT_02019,https://www.jp-bank.japanpost.jp,"Japan Post Bank Co., Ltd.",Japan,East Asia & Pacific,High income,Public, JP3946750001,,, Q907103, 5493006JVO6N2HC2XZ76, FSB, , , , , Yes, , Yes, Banks,6419, Other monetary intermediation, ..., ...,"  18,875 ","  12,169 ","  11,742 ","  11,345 ",  44.3 ,  35.7 ,  193.50 ,  91.00 ,  0.04 ,  -   ,  -   ,  0.07 ,  -   ,  0.06 , No,  0.07 , No,  -   , …,"  263,633.50 ","  215,319.22 ",  -   ,"  263,134.00 ","  213,716.84 ",  57.64 ,"  221,984.90 ","  175,238.75 ",  66.53 ,31-Mar-24,  1 ,  1 ,  1 , Employees, , ,"Summary of Consolidated Financial Results for the Fiscal Year Ended March 31, 2024",ESG Data,https://ssl4.eir-parts.net/doc/7182/ir_material_for_fiscal_ym5/155834/00.pdf,https://www.jp-bank.japanpost.jp/en/sustainability/esg-index/data/
Japan Post Insurance,PT_02020,https://www.jp-life.japanpost.jp,"Japan Post Insurance Company, Ltd.",Japan,East Asia & Pacific,High income,Public, JP3233250004,,, Q6157781, 54930042SK2Z708BA841, FSB, , , , , Yes, , Yes, Insurance,6500," Insurance, reinsurance and pension funding, except compulsory social security", ..., ...,"  48,004 ","  20,092 ","  19,776 ","  19,092 ",  23.8 ,  36.4 ,  65.60 ,  653.60 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  0.02 , No,  -   , …,  -   ,  -   ,  -   ,"  87,867.60 ",  -   ,  -   ,"  93,504.90 ","  41,902.40 ",  -   ,31-Mar-24,  1 , , ,  -   , , ,Annual Report 2024,ESG Data,https://www.jp-life.japanpost.jp/english/aboutus/financial/assets/pdf/2024/disc24_all-4.pdf,https://www.jp-life.japanpost.jp/english/aboutus/sustainability/assets/pdf/esg_deta_all.pdf
New Hope Liuhe ,PT_01252,https://www.newhopeagri.com/,"New Hope Liuhe Co., Ltd.",China,East Asia & Pacific,Upper middle income,Public, CNE000000VB0,000876, SZSE, Q97041332, 3003007RHT805DN3JB54, FAB, Yes, , Yes, , , , Yes, Food Production,1080, Manufacture of prepared animal feeds,"  37,209 ","  41,543 ","  20,015 ","  135,000 ","  135,000 ","  50,517 ",  24.0 ,  33.3 ,"  27,348.10 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,"  1,021,753.87 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  6,460,144.99 ","  3,293,478.60 ",  -   ,31-Dec-23,  20 , ,  -   ,  -   , , ,Annual Report,Sustainability Report,http://static.cninfo.com.cn/finalpage/2024-07-06/1220542543.PDF,http://static.cninfo.com.cn/finalpage/2024-07-06/1220542542.PDF
Swisscom,PT_01711,https://www.swisscom.ch,Swisscom Ltd,Switzerland,Europe & Central Asia,High income,Public, CH0008742519,,, Q644324, 5493005SL9HHOXS3B739, DIB, , , , Yes, , , Yes, Telecommunications,6120, Wireless telecommunications activities,"  12,289 ","  11,697 ","  12,302 ","  18,905 ","  19,157 ","  19,729 ",  23.0 ,  33.3 ,  151.12 ,"  4,104.00 ",  0.06 ,  0.06 ,  0.06 ,  0.28 , Yes,  0.26 , No,  0.31 , Yes, Committed, Targets Set,"  533,738.00 ","  464,865.00 ",  100.00 ,"  528,723.00 ","  472,680.00 ",  -   ,"  542,364.00 ","  485,893.00 ",  100.00 ,31-Dec-23,, ,  -   ,  -   , Number of wireless subscribers,"  6,202,000 ",Annual Report 2023,Sustainability Impact Report 2023,https://reports.swisscom.ch/download/2023/en/swisscom_geschaeftsbericht_gesamt_2023_en.pdf,https://reports.swisscom.ch/download/2023/en/swisscom_sustainability_impact_report_2023_en.pdf
